"FileName"," Time"," Average X"," Average Y"," Average Z"," Number of Peaks X"," Number of Peaks Y"," Number of Peaks Z"," Average Jerk X"," Average Jerk Y"," Average Jerk Z"," Average XY"," Average XZ"," Average YZ"," Previous Gesture"," Gesture"
"data\Raw Data Cleaned\Austin brush 1.csv","0.5820000171661377","-530.0","834.0","344.0","0","1","1","26.602398932956458","-5.2691117444055235","37.140645494158704","-1364.0","-874.0","490.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-656.0","1044.0","436.0","0","1","1","92.24100400141327","20.14456779226117","76.04828732174965","-1700.0","-1092.0","608.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-780.0","1252.0","532.0","0","2","1","93.06992448158287","-3.1614670466433124","99.39287241830422","-2032.0","-1312.0","720.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-768.0","1254.0","542.0","1","2","1","49.28811851624566","46.00214488403111","-24.534351443044635","-2022.0","-1310.0","712.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-762.0","1254.0","542.0","1","2","1","59.16466533092813","-2.9045891535991073","53.288022984959795","-2016.0","-1304.0","712.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-764.0","1254.0","558.0","2","2","1","30.249038783988624","26.01106508020983","62.92654209488177","-2018.0","-1322.0","696.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-760.0","1254.0","566.0","2","2","2","10.971917503536384","-12.54317748069467","-14.181943026927229","-2014.0","-1326.0","688.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-762.0","1254.0","568.0","1","2","1","-8.305203776915869","26.01106508020983","-72.01330686828399","-2016.0","-1330.0","686.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-772.0","1260.0","570.0","1","1","1","-45.93721884836434","26.85666717405919","37.92313101758866","-2032.0","-1342.0","690.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-906.0","1470.0","668.0","1","2","1","-38.28101570697028","-10.541315189007113","31.602609181323885","-2376.0","-1574.0","802.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-916.0","1460.0","666.0","0","2","1","-62.57573911958254","-50.10701908714177","-89.47436425764353","-2376.0","-1582.0","794.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-906.0","1472.0","666.0","0","1","0","57.90609584031002","-1.9142851031847385","-81.44224192698402","-2378.0","-1572.0","806.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-778.0","1258.0","556.0","1","2","1","-55.813973314567605","-69.76706660540455","-78.45356903192858","-2036.0","-1334.0","702.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-788.0","1254.0","556.0","1","1","1","-56.47071516976994","-88.15275966593234","-40.36869920046835","-2042.0","-1344.0","698.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-792.0","1250.0","542.0","1","1","2","-56.47071516976994","-9.140385148301453","-139.13402199237626","-2042.0","-1334.0","708.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-792.0","1252.0","528.0","1","1","2","-2.0286975491802424","85.55054814357626","-23.471294309662756","-2044.0","-1320.0","724.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-930.0","1460.0","612.0","2","2","2","-36.77820196390763","36.204502780056124","-19.55941192471896","-2390.0","-1542.0","848.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-960.0","1480.0","626.0","1","1","1","-347.35410789892086","83.05880428365947","75.29641892279086","-2440.0","-1586.0","854.0","Inactive","Inactive"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-1166.0","1732.0","720.0","1","1","2","-576.4776787306155","280.2524504989348","22.727949711232537","-2898.0","-1886.0","1012.0","Inactive","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-1212.0","1810.0","758.0","1","1","2","-197.8199392931606","631.3714452500293","311.8847689180163","-3022.0","-1970.0","1052.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-1136.0","1924.0","780.0","1","1","2","558.5235389036287","769.3891689078713","92.87081233129412","-3060.0","-1916.0","1144.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-978.0","1948.0","692.0","1","2","2","1075.529660738606","142.5318378651721","-530.4591657312036","-2926.0","-1670.0","1256.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-788.0","1898.0","548.0","0","1","2","1270.7218351293907","-351.95508569618323","-984.8484530561493","-2686.0","-1336.0","1350.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-574.0","1872.0","400.0","0","1","2","1493.568151367848","-142.87814180090592","-1012.3871977425097","-2446.0","-974.0","1472.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-324.0","1826.0","232.0","0","2","1","1901.731419764113","-401.3814730342991","-1257.2851433336455","-2150.0","-556.0","1594.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","-16.0","1726.0","36.0","0","2","1","2387.0175911576416","-885.8281095822722","-1298.0895394558524","-1742.0","-52.0","1690.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","536.0","1320.0","-316.0","0","1","0","1905.9591496675173","-1415.4390660833296","-1849.1095156304366","-784.0","852.0","1636.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","710.0","1464.0","-354.0","1","1","0","1543.4536777970802","-1198.195886323198","-923.2966621898057","-754.0","1064.0","1818.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","922.0","1182.0","-570.0","1","2","1","902.5232048734814","-1343.1033254670594","-711.3480570015373","-260.0","1492.0","1752.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1088.0","1100.0","-684.0","1","2","1","886.2951905131932","-99.26937243486607","-256.95876967659143","-12.0","1772.0","1784.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1010.0","584.0","-674.0","2","2","1","312.75823677946056","-276.6708182833434","-304.2059100181542","426.0","1684.0","1258.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","932.0","458.0","-402.0","1","1","0","1036.6991002880695","1103.2989299615642","1678.9023475082406","474.0","1334.0","860.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1098.0","462.0","-670.0","2","2","1","-10.639017464339485","-457.358140448636","-1836.8716775522742","636.0","1768.0","1132.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1142.0","374.0","-700.0","2","2","1","664.0602273514893","1084.8115619875439","765.5396953087791","768.0","1842.0","1074.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1200.0","484.0","-674.0","2","1","2","339.7912644077521","885.6137301786532","630.5998463456133","716.0","1874.0","1158.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1352.0","518.0","-868.0","2","2","2","-208.90345702068933","-150.8762764270482","-363.3878462879147","834.0","2220.0","1386.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1580.0","594.0","-980.0","2","2","2","344.176043023113","159.83429655502815","253.06896925217467","986.0","2560.0","1574.0","Hand Raise","Hand Raise"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1646.0","472.0","-882.0","2","3","2","555.3063750044429","173.60332610823212","1161.8473461386186","1174.0","2528.0","1354.0","Hand Raise","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1642.0","416.0","-930.0","2","2","2","-622.4551381387566","-1416.118484385035","-2110.7797797569124","1226.0","2572.0","1346.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1574.0","220.0","-1100.0","2","2","2","115.23697383461786","-417.6695685719877","1028.1121543051017","1354.0","2674.0","1320.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1390.0","218.0","-874.0","1","1","1","-113.16808564518617","-738.9541922317061","-217.88427264383515","1172.0","2264.0","1092.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1500.0","190.0","-1160.0","2","2","2","-747.9958227472869","-1255.4508204858284","-1459.8140673190665","1310.0","2660.0","1350.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1560.0","124.0","-1028.0","2","2","2","802.8608614167586","249.9990445395519","1615.344244828854","1436.0","2588.0","1152.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1548.0","100.0","-1148.0","3","2","3","-631.9387129647058","-515.3476237257636","-1425.3872363458981","1448.0","2696.0","1248.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1276.0","-10.0","-1116.0","2","2","2","313.9324400867276","385.32864318951897","1129.8313655582353","1286.0","2392.0","1106.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","1470.0","78.0","-1298.0","3","2","3","167.81912097110222","1024.6759410744282","302.965731473551","1392.0","2768.0","1376.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","398.0","118.0","-278.0","0","0","0","68.84680521205092","-399.3114702298954","592.082524823638","280.0","676.0","396.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","596.0","248.0","-422.0","1","0","1","-108.43395758539089","2181.3002680753248","-846.8176191195118","348.0","1018.0","670.0","Brush Teeth","Brush Teeth"
"data\Raw Data Cleaned\Austin brush 1.csv","0.0","754.0","268.0","-630.0","1","1","1","-714.8581686166908","-312.86419607246626","-1592.6552611086292","486.0","1384.0","898.0","Brush Teeth","Brush Teeth"
