FileName, Time, Average X, Average Y, Average Z, Number of Peaks X, Number of Peaks Y, Number of Peaks Z, Average Jerk X, Average Jerk Y, Average Jerk Z, Average XY, Average XZ, Average YZ ,Gesture
data/Raw Data Cleaned/Austin brush 1.csv,1.164000034,-516.4444444,835.5555556,361.7777778,2,3,2,28.88154884,14.28099877,53.25683087,-1352,-878.2222222,473.7777778,Inactive
data/Raw Data Cleaned/Austin brush 1.csv,1.004999876,-277.0526316,440.8421053,192.4210526,1,2,2,5.079956024,2.592542981,-59.49495531,-717.8947368,-469.4736842,248.4210526,Inactive
data/Raw Data Cleaned/Austin brush 1.csv,1.07400012,24.5,309.75,-6.5,1,3,3,1117.292464,-874.6601498,-834.4816334,-285.25,31,316.25,Raise Hand
data/Raw Data Cleaned/Austin brush 1.csv,1.08100009,202.4186047,46.3255814,-126.1395349,3,3,3,-174.35678,-467.0352252,-7.248779179,156.0930233,328.5581395,172.4651163,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.079999924,106.4,18.4,-82.24,2,2,2,389.9738157,110.3893846,1129.971239,88,188.64,100.64,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.079999924,157.5873016,27.17460317,-119.3650794,5,4,4,-247.285269,-448.0612689,-330.6465387,130.4126984,276.952381,146.5396825,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.080000162,91.11111111,8.111111111,-82.55555556,2,2,3,211.3253417,77.82606254,557.3200825,83,173.6666667,90.66666667,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.080999851,96.09638554,7.807228916,-88.28915663,4,3,3,-3.653957543,340.1161276,159.6659924,88.28915663,184.3855422,96.09638554,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.079999924,98.66666667,34.91666667,-80.5,4,4,4,-93.14552299,-533.1219623,-103.6974293,63.75,179.1666667,115.4166667,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.257000208,41.25490196,0.470588235,-43.45098039,1,1,2,244.7422456,16.80959348,211.5857171,40.78431373,84.70588235,43.92156863,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.070999861,74.03508772,12.9122807,-68.84210526,3,3,5,-52.68881,-70.53253149,-114.4483554,61.12280702,142.877193,81.75438596,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.08100009,62.016,1.024,-60.352,3,3,3,-163.9550664,296.3229634,-438.937093,60.992,122.368,61.376,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.161000013,57.82352941,31.76470588,-45.52941176,3,3,4,-118.2333998,-782.5208155,-303.9332547,26.05882353,103.3529412,77.29411765,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.082000017,55.13513514,19.18918919,-56.81081081,4,4,4,132.584041,124.865099,222.0328887,35.94594595,111.9459459,76,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,2.389999866,34.87179487,1.025641026,-37.74358974,2,3,3,-52.7759658,-90.50697654,-287.3205916,33.84615385,72.61538462,38.76923077,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.015000105,45.20481928,17.59036145,-32.19277108,4,4,3,-443.245261,-377.6642265,-964.443913,27.61445783,77.39759036,49.78313253,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.007999897,47.50282486,21.64971751,-30.14689266,3,3,4,-286.6323408,-503.2995019,-438.6004336,25.85310734,77.64971751,51.79661017,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.069999933,34.75268817,-3.612903226,-30.06451613,3,2,3,-42.73189425,-847.0291342,112.2628906,38.3655914,64.8172043,26.4516129,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.080000162,47.03030303,-9.535353535,-33.73737374,2,3,3,76.77199222,810.6752254,-136.4059107,56.56565657,80.76767677,24.2020202,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.419999838,31.11538462,-6.576923077,-37.23076923,3,3,2,-5.070163139,309.6052587,-52.16735288,37.69230769,68.34615385,30.65384615,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.077000141,42.35294118,-6.841628959,-42.13574661,5,4,5,220.559552,339.3633871,-293.989322,49.19457014,84.48868778,35.29411765,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.075999975,40.34188034,11.00854701,-29.43589744,4,5,4,-26.81191642,1.173596326,-248.7672501,29.33333333,69.77777778,40.44444444,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.079999924,27.82040816,4.53877551,-34.54693878,3,3,3,269.8633007,283.4107229,193.1328958,23.28163265,62.36734694,39.08571429,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.080000162,35.84496124,-6.666666667,-30.88372093,4,3,3,23.03260576,140.6949993,105.5579372,42.51162791,66.72868217,24.21705426,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,2.473999977,24.59925094,3.895131086,-21.66292135,3,3,3,184.2381333,-234.1419212,548.1053165,20.70411985,46.26217228,25.55805243,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.01699996,32.71684588,3.928315412,-29.01792115,5,4,5,-63.4737847,734.2164135,-172.9863241,28.78853047,61.73476703,32.94623656,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.078999996,23.25517241,0.275862069,-27.42068966,1,3,3,198.470881,-843.7188619,86.71299549,22.97931034,50.67586207,27.69655172,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.08100009,30.17821782,-4.171617162,-29.22772277,4,4,4,-297.2069943,-134.6662313,-256.0374978,34.34983498,59.40594059,25.05610561,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.078999996,24.30573248,5.52866242,-24.43312102,3,3,3,-369.9371595,-390.2432305,-310.4259902,18.77707006,48.7388535,29.96178344,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.336999893,20.75541796,2.253869969,-17.3869969,3,3,3,-5.720368478,478.2705434,130.2815191,18.50154799,38.14241486,19.64086687,Brush Teeth
data/Raw Data Cleaned/Austin brush 1.csv,1.072999954,8.072289157,12.40963855,-3.614457831,1,1,0,-1089.885745,1874.803258,1564.636458,-4.337349398,11.68674699,16.02409639,Lower Hand
